PC1,PC2,classe,conjunto
1.9107676605938548,2.107842737081887,defeituoso,treino
-0.967140056063155,-1.267157801231262,ok,treino
-0.12954036144978878,2.324311076441133,defeituoso,treino
2.70352488059148,3.077752597456294,defeituoso,treino
-1.195073731789272,-0.20679011745684475,ok,treino
4.001121674152352,4.2165728112183025,defeituoso,treino
5.67133438918663,-3.7542938446794274,ok,treino
-3.800817668463065,-1.1760157246990168,ok,treino
10.40987646798203,-6.743271964084976,ok,treino
0.5186884208015876,2.1488304230708564,defeituoso,treino
-1.4937450792653908,0.7066724527706588,ok,treino
-1.9923570933515742,-0.2359888241098612,ok,treino
-0.6486940231554748,-0.34487372910542874,defeituoso,treino
-2.014330549092052,-0.938879957422508,ok,treino
9.693304021939547,-7.4842655465313666,ok,treino
0.8372374654656071,1.9819708453984435,defeituoso,treino
-0.09178320532876727,0.643278360223807,defeituoso,treino
-1.0931813970366835,-0.28257769098301844,defeituoso,treino
0.7427923531964988,0.2856663751080322,defeituoso,treino
-1.6043233740814227,0.10874809279617434,ok,treino
-1.5190120515670753,0.2081661131837868,ok,treino
-1.7884908461542273,-0.09495793714250758,defeituoso,treino
2.2442547214702637,2.887107069797263,defeituoso,treino
1.7831364615459764,3.0002746353833305,defeituoso,treino
-1.2263411640358082,0.05118005363163289,ok,treino
0.3436724585423926,-1.8185273351901294,defeituoso,treino
1.1486581431693836,2.9809900446472817,defeituoso,treino
1.0692894869288103,-3.1032614996078265,defeituoso,treino
-1.9841701155466174,-0.18778419928587484,ok,treino
-2.087338393705898,-1.2160319354100835,ok,treino
-1.0195575628433675,-0.19963678112816244,ok,treino
-2.5141104423988025,-1.1933358055935523,ok,treino
-3.5314540029813113,-1.6377337475242602,ok,treino
-0.20296729851079548,-1.984094372739766,defeituoso,treino
-3.023787983208015,-2.06718598976378,ok,treino
0.38581820362357033,1.2399750780635965,ok,treino
-2.5054451006847227,-0.10074420378887372,ok,treino
-1.4729390649982608,-1.4059704628183463,ok,treino
-2.103190704151255,-1.3877767041942428,ok,treino
-3.197507822688249,-3.209880710171762,ok,treino
0.6966304644698986,1.7930939223968065,defeituoso,treino
3.121784069552879,4.136171743657843,defeituoso,treino
0.35937098782534105,1.0547647945364766,defeituoso,treino
0.19494899618242573,0.4941694990612618,ok,treino
-1.5731625309458308,-1.879433948076396,defeituoso,treino
1.5206775530216468,1.8785355928170222,defeituoso,treino
-1.3185625971344663,-0.8171193772734537,ok,treino
0.5735722935127733,1.4546656158734304,defeituoso,treino
-0.11191001554019925,0.11893707270312032,defeituoso,treino
-3.5815204329832637,-1.4701256544717254,ok,treino
2.265156021042241,3.333084360294158,defeituoso,treino
-1.7876953285068324,-1.1058460593758028,defeituoso,treino
0.3916994727394853,2.65470923516974,defeituoso,treino
-2.6780461345050632,-0.6003313041556719,ok,treino
0.90468587150214,1.8069755671356624,defeituoso,treino
2.965502954989694,3.01699067488813,defeituoso,treino
-3.0518692545348056,-0.9341066833464508,defeituoso,treino
-2.85656433484019,-1.555146879802467,ok,treino
2.4777180369566354,2.7658668543881615,defeituoso,treino
9.624338403648148,-6.910877021725114,ok,treino
0.14911704896187744,1.908550224942796,defeituoso,treino
0.9644959599075152,-1.2721481234611067,defeituoso,treino
-1.5472567589234296,-2.354289234367327,ok,treino
-2.575697227112634,-0.33944914854967123,ok,treino
2.2860944537108607,2.281449702406038,defeituoso,treino
0.5440878389319456,-4.824318593879781,defeituoso,treino
0.21718338697582104,1.0845967312222025,defeituoso,treino
-2.0401583758508055,0.055512634712083286,ok,treino
2.7027788827811072,3.916768979900617,defeituoso,treino
-2.790872456087874,-2.0770621865281127,ok,treino
-2.5824690129556456,-0.15072502812174715,ok,treino
-1.6696292899126524,0.20708233737155043,ok,treino
-1.7156721005521718,-2.3552207312574978,ok,treino
0.36083918595567427,1.8788925835070003,defeituoso,treino
-1.3448399056434468,-3.6035530842275736,ok,treino
-0.6991105020900511,0.6898457235379315,defeituoso,treino
0.1501339317187077,-0.4014518313660391,defeituoso,treino
-0.8968811285631807,-1.2624408836050867,ok,treino
2.2158273211278487,2.814264297973431,defeituoso,treino
-3.3755405821182976,-1.8596688861519426,defeituoso,treino
